OTU_ID,EL10A,EL10B,EL11A,EL11B,EL12A,EL12B,EL13A,EL13B,EL14A,EL14B,EL15A,EL15B,EL16A,EL16B,EL17A,EL17B,EL18A,EL19A,EL19B,EL1A,EL1B,EL20A,EL20B,EL21A,EL21B,EL22A,EL22B,EL23A,EL23B,EL24A,EL24B,EL25A,EL25B,EL26A,EL26B,EL27A,EL27B,EL28A,EL28B,EL29A,EL29B,EL2A,EL2B,EL30A,EL30B,EL31A,EL31B,EL32A,EL32B,EL33A,EL33B,EL34A,EL34B,EL35A,EL36A,EL36B,EL37A,EL37B,EL38A,EL39A,EL39B,EL3A,EL3B,EL4A,EL4B,EL5A,EL5B,EL6A,EL6B,EL7A,EL7B,EL8A,EL8B,EL9A,EL9B,taxonomy,confidence
5832b3ad8c575121a7376e32ec6ef3f3,2210.0,1578.0,862.0,1280.0,540.0,1180.0,1670.0,607.0,3093.0,1657.0,160.0,280.0,138.0,1074.0,1147.0,706.0,2470.0,15.0,81.0,3041.0,1829.0,0.0,501.0,606.0,4182.0,3788.0,2066.0,1820.0,1340.0,3219.0,660.0,0.0,33.0,62.0,211.0,356.0,541.0,3275.0,1001.0,260.0,1579.0,881.0,1057.0,2664.0,135.0,15.0,48.0,19.0,171.0,1760.0,395.0,17624.0,1307.0,5071.0,4537.0,1366.0,932.0,1372.0,1732.0,1009.0,1688.0,2538.0,638.0,587.0,1871.0,1157.0,1314.0,1623.0,708.0,6701.0,1254.0,368.0,1632.0,4264.0,487.0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae;sh__SH1303804.10FU,0.9453193855952676
c13526dc7b3748868a7cde3b438882f9,4763.0,4397.0,2596.0,4925.0,3658.0,5372.0,1516.0,4082.0,16841.0,2045.0,2309.0,2701.0,3218.0,1452.0,4349.0,2259.0,77.0,1910.0,2675.0,402.0,5378.0,5333.0,5874.0,1683.0,4225.0,270.0,2326.0,4757.0,3935.0,13521.0,3016.0,6016.0,4066.0,4662.0,3909.0,4869.0,4094.0,75.0,3879.0,3843.0,4014.0,6736.0,3403.0,2682.0,1305.0,1163.0,10985.0,5700.0,4525.0,21.0,3949.0,5.0,1463.0,68.0,5986.0,3052.0,15.0,1986.0,16.0,2072.0,1013.0,9138.0,13378.0,4993.0,8071.0,2487.0,2433.0,34.0,2136.0,71.0,2925.0,1892.0,3245.0,838.0,3498.0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terrea;sh__SH1324214.10FU,0.9996769839142235
a2df1d5f82136b01d737e1ec4e675b43,1603.0,1046.0,2879.0,619.0,3797.0,590.0,2387.0,2354.0,1425.0,1306.0,3610.0,2019.0,852.0,216.0,5184.0,1220.0,17473.0,1974.0,929.0,256.0,801.0,98.0,981.0,1170.0,776.0,5465.0,1045.0,1029.0,2070.0,2007.0,1764.0,183.0,259.0,1602.0,902.0,961.0,1599.0,5435.0,2188.0,3626.0,1688.0,1937.0,943.0,793.0,388.0,1670.0,995.0,5281.0,1456.0,3992.0,1305.0,9829.0,705.0,2523.0,305.0,378.0,104.0,78.0,4942.0,2310.0,1593.0,799.0,177.0,361.0,784.0,3181.0,493.0,7678.0,647.0,10641.0,390.0,3134.0,1984.0,2678.0,3068.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Dothideomycetes_gen_Incertae_sedis;s__Dothideomycetes_sp;sh__SH1141180.10FU,0.912242688944328
c8fdb0a5e38add6c2cef4de80ae6a3a9,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5780.0,5023.0,3906.0,5.0,0.0,0.0,0.0,18.0,5586.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,473.0,65.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,108.0,0.0,0.0,16.0,9256.0,0.0,0.0,0.0,2964.0,114.0,0.0,2.0,0.0,0.0,0.0,12399.0,20495.0,112.0,10856.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,87.0,9710.0,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Discinaceae;g__Hydnotrya;s__Hydnotrya_sp;sh__SH1340656.10FU,0.999999783051829
f0233535605c46590d5d6d44bb38e8af,1076.0,680.0,248.0,1361.0,172.0,3451.0,1012.0,1582.0,2485.0,1308.0,624.0,1516.0,275.0,1912.0,395.0,565.0,44.0,233.0,914.0,15.0,1243.0,12.0,1915.0,314.0,894.0,35.0,523.0,1111.0,305.0,198.0,818.0,510.0,1070.0,570.0,1059.0,1499.0,8450.0,128.0,3418.0,867.0,2764.0,480.0,2164.0,6297.0,1910.0,97.0,9052.0,504.0,5766.0,0.0,2137.0,6.0,5095.0,64.0,218.0,159.0,0.0,583.0,68.0,2245.0,946.0,1171.0,874.0,116.0,870.0,273.0,3290.0,0.0,1824.0,92.0,887.0,132.0,1953.0,405.0,261.0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,0.9931370464201716
3204ad7b254b8eff3812e4e756dac104,2022.0,930.0,828.0,661.0,3981.0,1150.0,632.0,2563.0,347.0,4198.0,1378.0,331.0,958.0,101.0,413.0,533.0,1279.0,537.0,1058.0,352.0,862.0,912.0,507.0,883.0,3096.0,1067.0,2474.0,735.0,623.0,1531.0,32.0,142.0,2534.0,1081.0,531.0,3821.0,2459.0,1059.0,1241.0,1276.0,350.0,951.0,684.0,1171.0,241.0,613.0,1341.0,769.0,642.0,0.0,570.0,3595.0,467.0,883.0,315.0,105.0,15.0,0.0,17.0,71.0,0.0,425.0,198.0,260.0,440.0,1442.0,319.0,1717.0,1425.0,2541.0,520.0,918.0,1066.0,689.0,517.0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,0.9010614582474034
9c678d359c0598bbd07b97e6e843dd53,1351.0,1310.0,259.0,1813.0,190.0,1920.0,887.0,3187.0,1932.0,7812.0,132.0,715.0,58.0,3270.0,491.0,1499.0,5.0,66.0,457.0,63.0,1206.0,0.0,1451.0,372.0,1875.0,127.0,6849.0,1049.0,431.0,284.0,2365.0,329.0,821.0,232.0,1368.0,184.0,3640.0,20.0,972.0,474.0,1776.0,1132.0,2966.0,2257.0,930.0,0.0,749.0,45.0,1002.0,0.0,514.0,0.0,454.0,85.0,187.0,314.0,0.0,911.0,39.0,1164.0,622.0,1778.0,2513.0,155.0,5392.0,358.0,1174.0,5.0,1366.0,170.0,1538.0,144.0,4611.0,70.0,138.0,k__Fungi,1.0000000000000029
6747f83f0465b71078bcd45dc77821be,9.0,0.0,25571.0,872.0,533.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,0.0,0.0,7.0,5208.0,104.0,300.0,3.0,0.0,0.0,0.0,81.0,33.0,0.0,13.0,376.0,12300.0,77.0,573.0,0.0,0.0,32.0,616.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,3.0,0.0,0.0,2741.0,157.0,0.0,5591.0,0.0,0.0,139.0,3515.0,0.0,0.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturiaceae_gen_Incertae_sedis;s__Venturiaceae_sp;sh__SH1162540.10FU,0.9999619517322836
beec2891e8bc100d69226515d7a8726f,0.0,7855.0,8.0,0.0,24.0,838.0,86.0,4.0,39.0,9604.0,337.0,7283.0,0.0,0.0,0.0,0.0,3.0,477.0,4426.0,13.0,0.0,56.0,0.0,0.0,4922.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7716.0,0.0,27224.0,0.0,654.0,4429.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570.0,0.0,0.0,0.0,6.0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp;sh__SH1327046.10FU,0.8576079511638816
e0781a6e100d8cbeee9d0d713f3cbe58,3582.0,3134.0,4331.0,4425.0,1995.0,1926.0,4878.0,87.0,347.0,475.0,441.0,1579.0,1658.0,452.0,5932.0,3462.0,2393.0,7146.0,2070.0,990.0,1748.0,9348.0,1234.0,1422.0,1863.0,1493.0,1908.0,2143.0,3667.0,2225.0,2919.0,2124.0,2881.0,5978.0,3936.0,2592.0,3432.0,1196.0,2122.0,1525.0,790.0,6559.0,3130.0,734.0,644.0,2358.0,1481.0,2635.0,2113.0,368.0,2105.0,762.0,2321.0,779.0,3682.0,2669.0,17.0,2898.0,282.0,1000.0,2572.0,1735.0,1115.0,11065.0,1322.0,2383.0,2543.0,1218.0,3098.0,1320.0,3551.0,1681.0,1916.0,4983.0,5570.0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium;s__Rhexocercosporidium_panacis;sh__SH1396974.10FU,0.995621601201742
2c346fbb001618fbd9da74724d5b8daa,2810.0,1273.0,3005.0,1282.0,283.0,856.0,179.0,173.0,1037.0,445.0,427.0,370.0,1084.0,106.0,676.0,453.0,155.0,818.0,944.0,181.0,898.0,830.0,1144.0,270.0,1861.0,1340.0,2599.0,848.0,695.0,703.0,380.0,654.0,502.0,2228.0,398.0,605.0,1858.0,164.0,1173.0,751.0,731.0,395.0,538.0,76.0,53.0,244.0,111.0,1456.0,2000.0,0.0,1313.0,29.0,1158.0,1083.0,1244.0,803.0,0.0,703.0,9.0,1588.0,547.0,1036.0,527.0,247.0,463.0,567.0,931.0,23.0,569.0,69.0,380.0,524.0,1155.0,231.0,1601.0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae;g__Morinia;s__Morinia_trachycarpi;sh__SH1272705.10FU,0.8190604826535982
01f50dbcdd13cfcc8a8aa515da8965b3,13.0,16.0,15.0,2229.0,1510.0,218.0,265.0,1669.0,1240.0,251.0,1040.0,216.0,448.0,1124.0,186.0,76.0,2708.0,77.0,13.0,0.0,163.0,491.0,108.0,99.0,0.0,239.0,168.0,0.0,0.0,18.0,0.0,6.0,8.0,131.0,15.0,2045.0,251.0,916.0,666.0,773.0,991.0,39.0,25.0,1052.0,466.0,14990.0,1751.0,1928.0,4597.0,0.0,232.0,270.0,0.0,3051.0,0.0,0.0,41.0,50.0,0.0,564.0,223.0,228.0,1071.0,35.0,85.0,7.0,0.0,0.0,12.0,151.0,50.0,0.0,8.0,129.0,71.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae,0.9358177661638484
283a91c7dc278acae19198918a6bb30c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48666.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Rhytismataceae_gen_Incertae_sedis;s__Rhytismataceae_sp;sh__SH1071287.10FU,0.8887446727959006
d5499858483644770d5bd4d3d834516f,586.0,1292.0,1218.0,1424.0,317.0,1551.0,539.0,839.0,1154.0,384.0,1116.0,1322.0,730.0,99.0,1610.0,4456.0,725.0,575.0,1148.0,98.0,516.0,43.0,553.0,1217.0,1998.0,482.0,864.0,114.0,444.0,181.0,433.0,44.0,3148.0,110.0,229.0,151.0,1693.0,196.0,573.0,456.0,811.0,94.0,1230.0,527.0,51.0,0.0,493.0,565.0,861.0,28.0,754.0,65.0,536.0,52.0,157.0,1707.0,4.0,1491.0,127.0,783.0,705.0,1332.0,353.0,414.0,925.0,1720.0,603.0,66.0,1477.0,262.0,1047.0,15.0,197.0,267.0,1548.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_sp,0.726199888901343
b5768b75e6257d5c8ed14b174af48c88,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,1162.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18709.0,2342.0,643.0,11535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,412.0,9107.0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Piloderma;s__Piloderma_sp;sh__SH0017925.10FU,0.8887761791485795
bf356cc5aaade345932fb268ddb1672a,2073.0,1378.0,1875.0,1403.0,911.0,914.0,836.0,633.0,1214.0,681.0,2615.0,1964.0,1058.0,99.0,1981.0,449.0,3221.0,1934.0,1705.0,1461.0,1199.0,65.0,2856.0,2030.0,3050.0,1073.0,2566.0,13157.0,695.0,1381.0,1108.0,1924.0,1477.0,451.0,6266.0,2147.0,4863.0,1723.0,2116.0,421.0,3255.0,380.0,2241.0,858.0,532.0,1069.0,765.0,1733.0,3148.0,494.0,2086.0,1192.0,1646.0,921.0,1014.0,3068.0,44.0,2768.0,6964.0,2728.0,1486.0,4312.0,397.0,876.0,795.0,3729.0,733.0,960.0,3334.0,1207.0,874.0,1685.0,2312.0,2070.0,4633.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae,0.949430297463464
fc64566e038a52a87ac03f747e2e961b,51.0,846.0,0.0,287.0,49.0,4180.0,24.0,69.0,55.0,2349.0,0.0,299.0,56.0,190.0,39.0,2964.0,33.0,7.0,16.0,0.0,152.0,0.0,463.0,269.0,247.0,0.0,70.0,18.0,474.0,432.0,1771.0,4.0,73.0,0.0,2389.0,80.0,293.0,542.0,1454.0,18.0,1073.0,17.0,2262.0,46.0,103.0,3.0,430.0,60.0,476.0,67.0,156.0,54.0,278.0,137.0,0.0,270.0,0.0,13913.0,259.0,73.0,1229.0,61.0,106.0,0.0,301.0,0.0,141.0,278.0,743.0,64.0,1178.0,20.0,154.0,0.0,47.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_desmazieri;sh__SH1213341.10FU,0.9999773726240392
