sample-id,year,year_code,site,site_code,plot,pair,block,litter,removal,removal_held,elevation,disturbance_distance,disturbance_type,soil_moisture,summer_precip,summer_temp,snowpack,snowfall,plate_row,plate_column,project_id,ggbc_filename
EL22B,2025,B,Emerald Lake,EL,22,11,3,Castilleja,R,no,3211.1,5.93,Creek,3.4,1.0,19.74,90,226.0,F,8,7160,7160_EL22B-ds.c6a03c49be374643b2a8337f87113b00
EL23A,2024,A,Emerald Lake,EL,23,12,3,Control,C,,3215.35,6.92,Treeline,7.24,2.24,18.13,164,300.4,G,3,7160,7160_EL23A-ds.55494304bc7b4120a3a6f395b659cb6a
EL23B,2025,B,Emerald Lake,EL,23,12,3,Control,C,yes,3215.35,6.92,Treeline,3.28,1.0,19.74,90,226.0,G,8,7160,7160_EL23B-ds.3ba5986eb8824eb1a7a39f5ee7d6e1bf
EL24A,2024,A,Emerald Lake,EL,24,12,3,Control,R,,3211.64,9.6,Creek,7.8,2.24,18.13,164,300.4,H,3,7160,7160_EL24A-ds.148e4376d64f4861a192bb93a194e8ae
EL24B,2025,B,Emerald Lake,EL,24,12,3,Control,R,no,3211.64,9.6,Creek,3.11,1.0,19.74,90,226.0,H,8,7160,7160_EL24B-ds.63843917bb6e4645b16f875dc4b2806c
EL25A,2024,A,Emerald Lake,EL,25,13,1,Control,R,,3217.02,4.62,Treeline,5.53,2.24,18.13,164,300.4,A,4,7160,7160_EL25A-ds.859582091ca946ed9eee8bb4338bcc97
EL25B,2025,B,Emerald Lake,EL,25,13,1,Control,R,no,3217.02,4.62,Treeline,2.23,1.0,19.74,90,226.0,A,9,7160,7160_EL25B-ds.873b81e092e04676a1ae9202bc058f88
EL26A,2024,A,Emerald Lake,EL,26,13,1,Control,C,,3216.15,4.11,Trail,7.46,2.24,18.13,164,300.4,B,4,7160,7160_EL26A-ds.b8127f7cc27941b692316a07c74c8420
EL26B,2025,B,Emerald Lake,EL,26,13,1,Control,C,yes,3216.15,4.11,Trail,2.33,1.0,19.74,90,226.0,B,9,7160,7160_EL26B-ds.744b5c1206a9408a8717c8ec4e3e1c01
EL27A,2024,A,Emerald Lake,EL,27,14,1,Community,C,,3216.2,4.33,Treeline,7.49,2.24,18.13,164,300.4,C,4,7160,7160_EL27A-ds.f7d1843c07fa4dbebeffb117fbbc1b4f
EL27B,2025,B,Emerald Lake,EL,27,14,1,Community,C,yes,3216.2,4.33,Treeline,3.0,1.0,19.74,90,226.0,C,9,7160,7160_EL27B-ds.9070cdc5ad7f4b4092652e00ca3a3f14
EL28A,2024,A,Emerald Lake,EL,28,14,1,Community,R,,3216.0,7.29,Trail,7.86,2.24,18.13,164,300.4,D,4,7160,7160_EL28A-ds.9938a188983a4e2da9a14e2aef184c86
EL28B,2025,B,Emerald Lake,EL,28,14,1,Community,R,yes,3216.0,7.29,Trail,3.21,1.0,19.74,90,226.0,D,9,7160,7160_EL28B-ds.77136b274ed448588694af77becc412c
EL29A,2024,A,Emerald Lake,EL,29,15,1,Castilleja,C,,3216.51,5.93,Treeline,7.5,2.24,18.13,164,300.4,E,4,7160,7160_EL29A-ds.53c93e058da848feacad43a7609b4724
EL29B,2025,B,Emerald Lake,EL,29,15,1,Castilleja,C,yes,3216.51,5.93,Treeline,3.75,1.0,19.74,90,226.0,E,9,7160,7160_EL29B-ds.d3e7234511b441449b083688bb3a4d58
EL30A,2024,A,Emerald Lake,EL,30,15,1,Castilleja,R,,3218.55,6.88,Trail,5.3,2.24,18.13,164,300.4,F,4,7160,7160_EL30A-ds.51662c429a11462cafa65e85dc8721c9
