year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2025,year,37,5,7,A,,8/16/24,8/11/25,360,Castilleja,C,2.389,3.911,5,1.522,3.478
2025,year,37,5,9,B,,8/16/24,8/11/25,360,Castilleja,C,2.4,4.594,5,2.194,2.806
2025,year,37,5,6,C,,8/16/24,8/11/25,360,Castilleja,C,2.333,4.072,5,1.739,3.261
2025,year,38,5,1,A,,8/16/24,8/11/25,360,Castilleja,R,3.361,4.289,5,0.928,4.072
2025,year,38,5,3,B,,8/16/24,8/11/25,360,Castilleja,R,2.395,4.402,5,2.007,2.993
2025,year,38,5,8,C,,8/16/24,8/11/25,360,Castilleja,R,2.361,4.802,5,2.441,2.559
2025,year,39,4,9,A,,8/16/24,8/11/25,360,Mixed,R,2.427,4.266,5,1.839,3.161
2025,year,39,4,5,B,,8/16/24,8/11/25,360,Mixed,R,2.369,4.674,5,2.305,2.695
2025,year,39,4,8,C,,8/16/24,8/11/25,360,Mixed,R,2.41,5.083,5,2.673,2.327
2025,year,40,4,9,A,,8/16/24,8/11/25,360,Mixed,C,2.341,4.385,5,2.044,2.956
2025,year,40,4,7,B,,8/16/24,8/11/25,360,Mixed,C,2.419,4.201,5,1.782,3.218
2025,year,40,4,5,C,,8/16/24,8/11/25,360,Mixed,C,2.375,4.604,5,2.229,2.771
