order,species,pot_id,biomass_type,type,treatment,estimated_biomass,lab_id,lab_sample_id,N,C,P,K
112,AGPU,2ci,Below,parasite,sterilized,0.99,411608,AGPU 2ci Below,1.52,40.29,,
113,HESU,3as,Below,host,sterilized,0.12,411609,HESU 3as Below,0.41,40.48,0.099,2.69
114,HESU,3ai,Below,host,innoculated,0.24,411610,HESU 3ai Below,0.51,40.99,0.225,2.53
115,AGPU,3bs,Below,host-parasite,sterilized,1.36,411611,AGPU 3bs Below,0.94,40.46,,
116,HESU,3bs,Below,host-parasite,sterilized,1.34,411612,HESU 3bs Below,0.46,40.93,0.125,2.29
117,AGPU,3bi,Below,host-parasite,innoculated,0.26,411613,AGPU 3bi Below,0.47,39.74,0.129,2.76
118,HESU,3bi,Below,host-parasite,innoculated,1.31,411614,HESU 3bi Below,0.74,37.45,,
119,AGPU,3cs,Below,parasite,sterilized,0.68,411615,AGPU 3cs Below,1.38,42.79,,
120,AGPU,3ci,Below,parasite,innoculated,1.05,411616,AGPU 3ci Below,1.46,40.62,,
121,HESU,4as,Below,host,sterilized,0.17,411617,HESU 4as Below,0.48,39.71,0.107,2.12
122,HESU,4ai,Below,host,innoculated,0.21,411618,HESU 4ai Below,0.60,40.05,0.236,2.04
123,AGPU,4bs,Below,host-parasite,sterilized,3.38,411619,AGPU 4bs Below,0.87,39.90,,
124,HESU,4bs,Below,host-parasite,sterilized,1.12,411620,HESU 4bs Below,0.59,38.54,0.149,2.72
125,AGPU,4bi,Below,host-parasite,innoculated,0.22,411621,AGPU 4bi Below,0.97,39.99,,
126,HESU,4bi,Below,host-parasite,innoculated,0.45,411622,HESU 4bi Below,0.69,39.35,0.124,2.46
127,AGPU,4cs,Below,parasite,sterilized,0.65,411623,AGPU 4cs Below,1.89,44.78,,
128,AGPU,4ci,Below,parasite,innoculated,0.65,411624,AGPU 4ci Below,1.35,40.09,,
129,HESU,5as,Below,host,sterilized,0.09,411625,HESU 5as Below,0.62,36.09,0.079,1.44
130,HESU,5ai,Below,host,innoculated,0.11,411626,HESU 5ai Below,0.47,40.76,0.146,2.13
131,AGPU,5bs,Below,host-parasite,sterilized,3.40,411627,AGPU 5bs Below,1.05,40.92,0.358,2.42
132,HESU,5bs,Below,host-parasite,sterilized,1.62,411628,HESU 5bs Below,0.74,39.95,0.140,3.09
133,AGPU,5bi,Below,host-parasite,innoculated,0.23,411629,AGPU 5bi Below,1.01,43.48,,
134,HESU,5bi,Below,host-parasite,innoculated,0.35,411630,HESU 5bi Below,0.68,39.71,0.161,2.81
135,AGPU,5cs,Below,parasite,sterilized,0.58,411631,AGPU 5cs Below,1.62,41.41,,
136,AGPU,5ci,Below,parasite,sterilized,1.05,411632,AGPU 5ci Below,1.30,39.87,,
137,HESU,6as,Below,host,sterilized,0.14,411633,HESU 6as Below,0.59,38.49,0.108,2.16
138,HESU,6ai,Below,host,sterilized,0.17,411634,HESU 6ai Below,0.53,39.58,0.114,1.79
139,AGPU,6bs,Below,host-parasite,sterilized,1.73,411635,AGPU 6bs Below,0.53,40.96,0.095,2.81
140,HESU,6bs,Below,host-parasite,sterilized,2.55,411636,HESU 6bs Below,0.89,40.78,,
141,AGPU,6bi,Below,host-parasite,innoculated,,411637,AGPU 6bi Below,1.13,41.61,,
142,HESU,6bi,Below,host-parasite,innoculated,0.25,411638,HESU 6bi Below,0.59,40.09,0.174,2.09
143,AGPU,6cs,Below,parasite,sterilized,0.16,411639,AGPU 6cs Below,1.50,42.19,,
144,AGPU,6ci,Below,parasite,innoculated,3.24,411640,AGPU 6ci Below,1.24,31.96,,
145,HESU,7as,Below,host,sterilized,0.16,411641,HESU 7as Below,0.42,40.27,0.097,1.69
146,HESU,7ai,Below,host,sterilized,0.35,411642,HESU 7ai Below,0.51,40.24,0.165,2.16
147,AGPU,7bs,Below,host-parasite,sterilized,2.89,411643,AGPU 7bs Below,0.92,40.18,0.153,1.89
148,HESU,7bs,Below,host-parasite,sterilized,1.83,411644,HESU 7bs Below,0.60,40.39,0.101,2.84
149,AGPU,7bi,Below,host-parasite,innoculated,0.49,411645,AGPU 7bi Below,1.18,38.30,,
150,HESU,7bi,Below,host-parasite,innoculated,1.52,411646,HESU 7bi Below,0.75,37.05,0.165,2.71
151,AGPU,7cs,Below,parasite,sterilized,0.15,411647,AGPU 7cs Below,1.50,59.65,,
152,AGPU,7ci,Below,parasite,innoculated,0.83,411648,AGPU 7ci Below,1.02,30.08,0.276,2.09
153,HESU,8as,Below,host,sterilized,0.05,411649,HESU 8as Below,0.55,38.02,0.099,2.24
154,HESU,8ai,Below,host,sterilized,0.40,411650,HESU 8ai Below,0.73,39.44,0.202,2.80
155,AGPU,8bs,Below,host-parasite,sterilized,3.25,411651,AGPU 8bs Below,0.74,40.69,0.158,1.88
156,HESU,8bs,Below,host-parasite,sterilized,0.68,411652,HESU 8bs Below,0.30,41.35,0.067,1.83
157,AGPU,8bi,Below,host-parasite,innoculated,0.35,411653,AGPU 8bi Below,1.00,41.28,,
158,HESU,8bi,Below,host-parasite,innoculated,1.00,411654,HESU 8bi Below,0.57,34.16,0.190,2.33
159,AGPU,8cs,Below,parasite,sterilized,0.37,,,,,,
160,AGPU,8ci,Below,parasite,innoculated,0.76,411656,AGPU 8ci Below,1.16,30.96,,
161,HESU,9as,Below,host,sterilized,0.00,411657,HESU 9as Below,0.53,40.04,0.138,2.09
162,HESU,9ai,Below,host,innoculated,0.25,411658,HESU 9ai Below,0.67,39.26,0.240,2.61
163,AGPU,9bs,Below,host-parasite,sterilized,2.43,411659,AGPU 9bs Below,0.82,41.05,0.148,1.77
164,HESU,9bs,Below,host-parasite,sterilized,1.01,411660,HESU 9bs Below,0.37,40.62,0.103,2.26
165,AGPU,9bi,Below,host-parasite,innoculated,0.57,,,,,,
166,HESU,9bi,Below,host-parasite,innoculated,1.31,411662,HESU 9bi Below,0.54,39.65,0.105,2.28
167,AGPU,9cs,Below,parasite,sterilized,0.19,,,,,,
168,AGPU,9ci,Below,parasite,innoculated,1.15,411664,AGPU 9ci Below,0.96,26.13,,
169,HESU,10as,Below,host,sterilized,2.19,411665,HESU 10as Below,0.42,40.80,0.102,1.67
170,HESU,10ai,Below,host,innoculated,0.36,411666,HESU 10ai Below,0.43,41.90,0.248,2.70
171,AGPU,10bs,Below,host-parasite,sterilized,2.33,411667,AGPU 10bs Below,0.87,40.31,0.125,1.68
172,HESU,10bs,Below,host-parasite,sterilized,1.80,411668,HESU 10bs Below,0.51,41.17,0.115,2.32
173,AGPU,10bi,Below,host-parasite,innoculated,0.54,411669,AGPU 10bi Below,0.87,43.31,,
174,HESU,10bi,Below,host-parasite,innoculated,2.14,411670,HESU 10bi Below,0.76,40.82,0.131,2.38
175,AGPU,10cs,Below,parasite,sterilized,0.28,411671,AGPU 10cs Below,1.52,40.15,,
176,AGPU,10ci,Below,parasite,innoculated,1.20,411672,AGPU 10ci Below,1.39,35.03,,
177,HESU,11as,Below,host,sterilized,0.38,411673,HESU 11as Below,0.55,41.23,0.117,1.29
178,HESU,11ai,Below,host,innoculated,0.36,411674,HESU 11ai Below,0.54,41.68,0.237,2.39
179,AGPU,11bs,Below,host-parasite,sterilized,2.20,411675,AGPU 11bs Below,0.85,39.79,,
180,HESU,11bs,Below,host-parasite,sterilized,1.40,411676,HESU 11bs Below,0.45,40.72,0.081,2.15
181,AGPU,11bi,Below,host-parasite,innoculated,0.17,411677,AGPU 11bi Below,1.21,45.62,,
182,HESU,11bi,Below,host-parasite,innoculated,0.96,411678,HESU 11bi Below,0.68,40.20,0.143,2.09
183,AGPU,11cs,Below,parasite,sterilized,0.10,411679,AGPU 11cs Below,1.59,43.92,,
184,AGPU,11ci,Below,parasite,innoculated,0.09,411680,AGPU 11ci Below,1.42,43.08,,
185,HESU,12as,Below,host,sterilized,1.23,411681,HESU 12as Below,0.65,40.06,0.153,2.21
186,HESU,12ai,Below,host,innoculated,1.46,411682,HESU 12ai Below,0.54,41.05,0.153,2.12
187,AGPU,12bs,Below,host-parasite,sterilized,0.39,,,,,,
188,HESU,12bs,Below,host-parasite,sterilized,0.72,411684,HESU 12bs Below,0.59,39.13,0.088,2.57
189,AGPU,12bi,Below,host-parasite,innoculated,0.31,411685,AGPU 12bi Below,1.13,41.91,,
190,HESU,12bi,Below,host-parasite,innoculated,1.04,411686,HESU 12bi Below,0.59,40.97,0.103,2.33
191,AGPU,12cs,Below,parasite,sterilized,0.21,411687,AGPU 12cs Below,1.58,41.67,,
192,AGPU,12ci,Below,parasite,innoculated,0.10,411688,AGPU 12ci Below,1.25,54.92,,
