"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0006f7b7-a4a3-4caa-8f8d-9bec61d56838","https://specieslink.net/guid/45/1530","1530","orobanchaceae","esterhazya","esterhazya splendida","brasil","paraná",NA,NA,"1958-10-09","1958","10","09","hatschbach, g.","7311c4ac-7cf6-4160-a55c-4a4c7cd0cf89"
"00070165-ae29-4b55-b3f3-78242912b5f3","https://arctos.database.museum/guid/uam:herb:147489","uam:herb:147489","orobanchaceae","rhinanthus","rhinanthus minor","united states","alaska",-154.566667,57.46666667,"2005-07-06/2005-07-06","2005","07","06","collector(s): carolyn l. parker, stacy studebaker","b6ec6203-09db-4d6e-8cba-ee4bebd2934c"
"000731b1-8e35-4213-bdda-07a19d202969","04866033-a01d-4e51-a002-9fa36fbd88ac","15464","orobanchaceae","castilleja","castilleja miniata","united states","wyoming",-110.712155,44.96688,"1893-07","1893","7",NA,"f. h. burglehaus","8b0c1f4b-9de7-4521-98c2-983e0bfd33c7"
"00079eef-40bf-460b-aff6-aa3cf6983a98","ld:general:1309508","1309508","orobanchaceae","pedicularis","pedicularis sceptrum-carolinum","sweden","norrbotten",21.00443,66.02943,NA,"1899","07","01","a. frisendahl","f778ecc0-8371-49d5-9ab1-9d75f0b76fad"
"0007e7a7-1332-41c0-a477-356e5d108f5e","612104e4-4a95-11e5-b5e0-001ec9fd629b","barcode-00731031","orobanchaceae","aureolaria","aureolaria flava","united states","massachusetts",NA,NA,"1916-09-16/1916-09-16",NA,NA,NA,"e. b. harger & r. w. woodward","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"0007f9da-d232-4062-bde6-88a8759fd40c","ucd18250","dav397935","orobanchaceae","orthocarpus","orthocarpus cuspidatus subsp. cryptanthus","united states","california",-120.241513,39.191435,"1998-08-15","1998","8","15","e. a. dean; n. wymer, t. and m. starbuck","b9ab58cf-785e-44a7-a873-1966e14a6715"
"00081ef7-b281-4a08-9465-4bf784f69da6","urn:catalog:bg:s:256462","256462","orobanchaceae","rhinanthus","rhinanthus minor subsp. groenlandicus","norway","troms og finnmark",NA,NA,NA,"1907","8","17","miss elizabeth taylor","d2217bca-3a93-4407-bb56-087afa000cbc"
"00084878-9478-4d03-b798-10b432281102","c73be53a-54e6-44bc-a238-17baef9fed82","brit147030","orobanchaceae","aureolaria","aureolaria flava","united states","alabama",NA,NA,NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"0008487d-eb41-4b1a-83f6-9c4f6b20ad0c","urn:catalog:trom:v:37074","37074","orobanchaceae","pedicularis","pedicularis lapponica","norway","troms og finnmark",20.118,70.1021,NA,"1994","6","26","mari aasen, torstein engelskjøn","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"00088477-b78c-4c96-a27b-efbeede3674a","80132d45-3eda-4438-80a0-70cf789dc495","3256495","orobanchaceae","castilleja","castilleja elmeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"00088a3e-a692-401f-9cd8-baaedbdc4f36","a1e9d621-5bc2-4b4a-b066-44323a378d5a","01861","orobanchaceae","castilleja","castilleja chromosa","united states","nevada",NA,NA,"1961-04-21","1961","4","21","r. conrad","ecb2a2f4-4c66-4bcf-ac7c-f112e8276447"
