"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"5cd89870-bf42-4506-97fc-4040e68852cd","13fbbcce-7e18-4608-8656-61d6544cd0fc","csla017527","orobanchaceae","macranthera","macranthera flammea","united states","alabama",-87.573255,30.544285,"1964-09-26","1964","9","26","sidney mcdaniel","7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68"
"5cfa0839-7ad9-4722-97b3-30b7db777455","d01a91a2-08fa-491f-8edf-15819437f73d","v0103270f","orobanchaceae","macranthera","macranthera flammea",NA,NA,NA,NA,NA,"1982","9","19","j. r. burkhalter","205fa34c-2fcb-4492-b992-972b18560f6f"
"5d77fbf5-1758-4007-9803-98f9dc0903fd","dec80d6a-4e51-4d4f-82f3-b57ee20597dc","mmns030704","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1995",NA,NA,"steve w. leonard","1e798b2d-7f97-49b0-a864-79c968af91d3"
"5f19e049-9049-4d9a-a846-0adc65dd1f09","0c0b470a-eb8c-4bc1-8441-e43d359835e1","no0107377","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1968-09-02","1968","9","2","john r. bozeman","4523e216-ee13-4b15-a3f7-a6fd56431604"
"607bc306-f39f-47d5-9286-148bd6d83018","http://n2t.net/ark:/65665/3359b9cff-1b47-4bb7-ba29-14751ea7807d","us 1324124","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,"1885-09-16","1885","9","16","j. donnell smith","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"61b01927-0e92-43d8-832c-f1214191ea55","36c90716-d8fc-4151-813f-5a55253604ec","ga220869","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,NA,NA,NA,NA,"beab5209-9628-4d4d-851e-2bc9bb1a0105"
"624acabf-884d-4501-a8d5-d08a75eb2f2f","71856047-122c-4558-a803-d6df8d2117fa","ga220865","orobanchaceae","macranthera","macranthera flammea","united states","alabama",NA,NA,NA,NA,NA,NA,NA,"beab5209-9628-4d4d-851e-2bc9bb1a0105"
"626334aa-9a4d-4bde-b972-32f0169d1b24","84b9cc91-4743-4b89-b7d9-5a7e76514e38","83017","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,"1956-09-23","1956","9","23","r. k. godfrey, r. kral","f1cf8457-237e-487a-9d13-5de7d81b9de4"
"627855c0-3824-463e-bec5-ede31c535185","urn:uuid:02655f02-888d-4c4e-bdea-8d23f5e0f10b","000084988","orobanchaceae","macranthera","macranthera flammea","united states","florida",-84.7996653584,29.8901467164,"1985-09-11",NA,NA,NA,"loran c. anderson","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"63232330-c3d0-4802-9342-38eb95e38cf4","99d5a379-c028-4a09-9b43-1252dadacb9e","12258","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,"1951-08-19","1951","8","19","r. b. channell","f1cf8457-237e-487a-9d13-5de7d81b9de4"
"6336c808-1484-4de8-8f18-0519cba4e4c3","urn:uuid:80bf0433-8a16-4eb5-8231-ad2e5f3cf2ce","ttrs_000009190","orobanchaceae","macranthera","macranthera flammea","united states","georgia",-83.9191965856,30.8641525471,NA,NA,NA,NA,"r.  komarek","06c35934-1b75-4196-838d-29d509951bf9"
"6345ac13-1172-40be-b4b4-30ba672551ab","0e627835-6656-4962-89bf-8abae9a6901b","252747","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,"1970-09-07","1970","9","7","angus k. gholson, jr.","781fd581-7b93-471e-a025-413e4bcd8491"
"638b23f8-a639-4a12-be4c-278d7afd4086","9e6886bd-158d-4e88-84e1-58960a09b7a2","brit319038","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"649773f4-7eb2-43e8-9109-ae3529269622","85dc7d30-9919-4d93-8eb7-f524df7edade","ga220872","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,"1989",NA,NA,"steve l. orzell, edwin l. bridges","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"64e6d528-58b9-4e17-9454-b85cc054b16e","4dcae381-ebee-4a24-9551-d1d62d518870","brit319022","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"6603f73f-9c87-4afa-bd78-d9b11083e07f","6a030f64-6630-4e0a-be48-e51889e1dfad","bm014652122","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,"1773 - 1777",NA,NA,"william bartram","3c9420c9-c4a8-47dc-88b7-b5638ca5e716"
"661f485a-fd3b-4e04-8b45-64fcd27bcc92","8adccfa3-f50a-4cf5-a1fd-061124c98433","104986","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1968-09-02","1968","9","2","john r. bozeman","781fd581-7b93-471e-a025-413e4bcd8491"
"66c3ad5a-0e99-4572-a372-d662dd09f07d","30759544-aaea-42b8-9ee9-359a74ab9dde","mmns014322","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1995",NA,NA,"steve w. leonard","1e798b2d-7f97-49b0-a864-79c968af91d3"
