genus,species,parasitic_habit,native,ecosystem,host,inat_GA,inat_entire,protection_state,protection_fed,NatureServ_status_GA,DNR_monitor,DNR_status_GA,NatureServ_status,EO,accessions,habitat,DNR GA Biodiversity Link,SERNEC Herbarium Link,NatureServ Link,INat Link,Key Notes
Aureolaria,pectinata,Root Hemiparasite,Yes,Forest,Oak,115,926,N/A,N/A,SNR,N/A,N/A,G5,0,1434,N/A,N/A,SERNEC - Aureolaria pectinata (sernecportal.org),Aureolaria pectinata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 12/15/1988; Nature Serve states that status needs review
Aureolaria,pedicularia,Root Hemiparasite,Yes,Forest,Oak,2,1161,No Georgia state protection,No US federal protection,S1?,N/A,S1?,G5,0,2017,Oak woodlands and forests,Aureolaria pedicularia (georgiabiodiversity.org),SERNEC - Aureolaria pedicularia (sernecportal.org),Aureolaria pedicularia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/12/2024
Aureolaria,virginica,Root Hemiparasite,Yes,Forest,Oak,174,1577,N/A,N/A,SNR,N/A,N/A,G5,0,2741,N/A,N/A,SERNEC - Aureolaria virginica (sernecportal.org),Aureolaria virginica | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/12/2024
Buchnera,americana,Root Hemiparasite,Yes,Grassland,Generalist,12,637,No Georgia state protection,No US federal protection,SNR,less than 10,S1,G5,7,3596,Wet meadows; seasonally moist barrens and limestone glades,Buchnera americana (georgiabiodiversity.org),SERNEC - Buchnera americana (sernecportal.org),Buchnera americana | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 3/14/1994; Nature Serve states that status needs review
Buchnera,floridana,Root Hemiparasite,Yes,Savannah,Generalist,61,3896,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,Observations · iNaturalist,N/A
Buchnera,longifolia,Root Hemiparasite,Yes,Tropical,Generalist,0,0,N/A,N/A,SNR,N/A,N/A,G4,0,179,N/A,N/A,SERNEC - Buchnera longifolia (sernecportal.org),Buchnera longifolia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 11/25/1994; Nature Serve states that status needs review
Castilleja,coccinea,Root Hemiparasite,Yes,Grassland,Generalist,13,3522,No Georgia state protection,No US federal protection,S1?,less than 10,S1?,G5,9,4263,Moist rock ledges; fens,Castilleja coccinea (georgiabiodiversity.org),SERNEC - Castilleja coccinea (sernecportal.org),Castilleja coccinea | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Comandra,umbellata,Root Hemiparasite,Yes,Grassland,Generalist,2,8470,N/A,N/A,S3?,N/A,N/A,G5,0,11339,N/A,N/A,SERNEC - Comandra umbellata (sernecportal.org),Comandra umbellata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/16/2016
Conopholis,americana,Root Holoparasite,Yes,Forest,Red Oak,438,23458,N/A,N/A,SNR,N/A,N/A,G5,0,3336,N/A,N/A,SERNEC - Conopholis americana (sernecportal.org),Conopholis americana | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/27/2016; Habitat not decribed on Nature Serve or DNR
Cuscuta,campestris,Stem Holoparasite,Yes,Grassland,Generalist,27,1512,N/A,N/A,N/A,N/A,N/A,G5,0,0,N/A,N/A,N/A,Cuscuta campestris | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/28/2007; Nature Serve states that status needs review
