OBJECTID,DataCollec,Owner,Site_Locat,Label_of_F,Manipulati,Instrument,Data_Use_C,Comment,MetadataID,HorizEstAc,VertEstAcc,FeatureHei,XCurrentMa,YCurrentMa,ProjectNam,SessionNam,DeviceType,PDOP,HDOP,CreationDa,CorrStatus,DeviceID,AccuracyRe
3246,jca,jca,,p18b,1,1,3,,,0.27588218451,0.77572160959,3208.76381753000,-107.04431746200,39.01269684690,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.10000000000,1.00000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3247,jca,jca,,p18a,1,1,3,,,0.19951958954,0.66280442476,3208.32856447000,-107.04435498100,39.01269269320,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.20000000000,1.20000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3248,jca,jca,,p19b,1,1,3,,,0.10148555785,0.10690008104,3208.21337391000,-107.04431584000,39.01273547340,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.90000000000,1.40000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3249,jca,jca,,p19a,1,1,3,,,0.19213478267,0.49409580231,3208.84165067000,-107.04437387000,39.01274397300,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.50000000000,1.60000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3250,jca,jca,,p20b,1,1,3,,,0.49368768930,1.48290729523,3213.27370091000,-107.04443338600,39.01290302600,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.50000000000,1.60000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3251,jca,jca,,p20a,1,1,3,,,0.28777420521,0.86579495668,3210.32073444000,-107.04447369600,39.01290157700,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.50000000000,1.80000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3252,jca,jca,,p17a,1,1,3,,,0.12113031745,0.44616225362,3210.95840338000,-107.04454625200,39.01299354710,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),2.90000000000,1.00000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3253,jca,jca,,p17b,1,1,3,,,0.21874445677,0.54888582230,3214.83886586000,-107.04451124100,39.01300595420,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),2.80000000000,1.00000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3254,jca,jca,,p5a,1,1,3,,,0.46500349045,0.76541113854,3214.16047596000,-107.04456117300,39.01304337410,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.00000000000,1.40000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3255,jca,jca,,p5b,1,1,3,,,0.37319403887,1.16435515881,3214.75887329000,-107.04454268200,39.01303646610,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),2.80000000000,0.90000000000,7/24/2023,Real-time corrected L1Code,Unit 1,RMS (68%)
3256,jca,jca,,p16b,1,1,3,,,0.74493527412,1.59094929695,3215.72170756000,-107.04456354900,39.01307570680,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.20000000000,1.10000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3257,jca,jca,,p16a,1,1,3,,,0.17632284761,0.63048011065,3216.43203979000,-107.04456885800,39.01307451570,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.40000000000,1.00000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3258,jca,jca,,p15a,1,1,3,,,0.38462823629,0.84176337719,3216.51494201000,-107.04455237000,39.01311976020,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.60000000000,1.30000000000,7/24/2023,Post-processed L1Code,Unit 1,RMS (68%)
3259,jca,jca,,p15b,1,1,3,,,0.33967933059,1.15206825733,3218.54797710000,-107.04452783300,39.01311913610,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.40000000000,1.10000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3260,jca,jca,,p14a,1,1,3,,,0.11268994957,0.29730835557,3216.19598019000,-107.04454940300,39.01319932070,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.60000000000,1.10000000000,7/24/2023,Post-processed L1CarrierFloat,Unit 1,RMS (68%)
3261,jca,jca,,p14b,1,1,3,,,0.10000000149,0.35986688733,3216.00101482000,-107.04451810600,39.01320047240,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.10000000000,1.50000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
