year,date,site,field_plot,pair,plot,castilleja,total_cover,plant_cover,bare,Achnatherum sp.,Agastache urticifolia,Amelanchier alnifolia,Antennaria parvifolia,Arctostaphylos uva-ursi,Artemisia dracunculus,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus frondosus,Bromus inermis,Calochortus gunnisonii,Campanula petiolata,Carex sp.,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Crepis sp.,Dactylus glomeratus,Delphinum nuttalliianum,Elymus elymoides,Elymus trachycaulus,Elymus glaucus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Erigeron sp.,Eriogonum umbellatum aureum,Eriogonum umbellatum majus,Festuca rubra,Festuca thurberi,Galium bifolium,Galium boreale,Gayophytum sp.,Helianthella quinquenervis,Heliomerus multiflora,Heterotheca sp.,Hydrophyllum capitatum,Ipomopsis aggregatta,Juniperus communis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus sp.,Mertensia brevistyla,Paxistima myrsinites,Phacelia sp.,Poa fendleriana,Poa pratensis,Poa sp.,Polygonum sp.,Populus tremuloides,Potentilla hippiana,Potentilla pulcherrima,Rosa woodsii,Sedum lanceolatum,Senecio pudicus,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa,Wyethia amplexicaulis
2023,7/13/23,Deer Creek 1,C14C,14,28,Control,1.22,0.87,0.35,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C15,15,29,Castilleja,1.065,0.265,0.8,0.01,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C15C,15,30,Control,1.155,0.355,0.8,0.04,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.08,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C16,16,31,Castilleja,1.16,0.76,0.4,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C16C,16,32,Control,1.005,0.395,0.61,0,0,0.15,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0.005,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C17,17,33,Castilleja,1.135,0.335,0.8,0.08,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C17C,17,34,Control,1.07,0.27,0.8,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C18,18,35,Castilleja,1.11,0.81,0.3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.01,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C18C,18,36,Control,1.04,0.96,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.65
2023,7/13/23,Deer Creek 1,C19,19,37,Castilleja,1.225,0.575,0.65,0,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0.005,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
