"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Silphium compositum",-84.535042,34.246804,"US","Georgia",NA,3709932594,"Asteraceae","SPECIES",1500,1948,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.55628,34.163712,"US","Georgia",NA,3710068601,"Asteraceae","SPECIES",1220,1988,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.606072,33.526704,"US","Georgia",NA,4030704305,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.392468,34.23295,"US","Georgia",NA,4030702305,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.076745,34.388699,"US","Georgia",NA,4030705309,"Apocynaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.684958,33.797032,"US","Georgia",NA,4030704311,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Eryngium yuccifolium",-83.448719,33.1187,"US","Georgia",NA,4030705321,"Apiaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.954529,34.316029,"US","Georgia",NA,3709937665,"Asteraceae","SPECIES",2917,1955,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.525142,32.502447,"US","Georgia",NA,3709797761,"Asteraceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.953968,34.309296,"US","Georgia",NA,3709947982,"Asteraceae","SPECIES",3406,1955,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-81.4793,32.3528,"US","Georgia",NA,3709977399,"Asteraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.309459,34.338264,"US","Georgia",NA,3709977750,"Apocynaceae","SPECIES",1229,2013,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.680067,33.249333,"US","Georgia",NA,3709841824,"Asteraceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.7657,33.199433,"US","Georgia",NA,3709841882,"Asteraceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
