pot_id,sample_id,replicate,pot_treatment,light,species,focal_species,focal_code,bag_above,bag_below,bag_and_above,bag_and_below,above,below,total
L_4_P1H2,L_4_P1H2_AGPU,4,Together,Low,P1H2,A. purpurea,AGPU,10.089,9.856,11.631,11.379,1.542,1.523,3.065
L_4_P1H2,L_4_P1H2_SYRA,4,Together,Low,P1H2,S. racemosum,SYRA,9.685,9.699,11.378,11.456,1.693,1.757,3.450
L_5_P1H2,L_5_P1H2_AGPU,5,Together,Low,P1H2,A. purpurea,AGPU,10.064,10.025,11.632,11.581,1.568,1.556,3.124
L_5_P1H2,L_5_P1H2_SYRA,5,Together,Low,P1H2,S. racemosum,SYRA,9.849,9.850,11.812,11.830,1.963,1.980,3.943
A_1_P1H2,A_1_P1H2_AGPU,1,Together,Ambient,P1H2,A. purpurea,AGPU,,,,,,,
A_1_P1H2,A_1_P1H2_SYRA,1,Together,Ambient,P1H2,S. racemosum,SYRA,9.840,9.882,12.378,12.896,2.538,3.014,5.552
A_2_P1H2,A_2_P1H2_AGPU,2,Together,Ambient,P1H2,A. purpurea,AGPU,10.225,10.091,12.142,11.742,1.917,1.651,3.568
A_2_P1H2,A_2_P1H2_SYRA,2,Together,Ambient,P1H2,S. racemosum,SYRA,9.883,9.796,11.632,12.057,1.749,2.261,4.010
A_3_P1H2,A_3_P1H2_AGPU,3,Together,Ambient,P1H2,A. purpurea,AGPU,9.963,9.979,11.620,11.576,1.657,1.597,3.254
A_3_P1H2,A_3_P1H2_SYRA,3,Together,Ambient,P1H2,S. racemosum,SYRA,9.748,9.493,11.543,11.470,1.795,1.977,3.772
A_4_P1H2,A_4_P1H2_AGPU,4,Together,Ambient,P1H2,A. purpurea,AGPU,9.817,10.344,11.500,11.895,1.683,1.551,3.234
A_4_P1H2,A_4_P1H2_SYRA,4,Together,Ambient,P1H2,S. racemosum,SYRA,9.750,10.217,11.390,12.127,1.640,1.910,3.550
A_5_P1H2,A_5_P1H2_AGPU,5,Together,Ambient,P1H2,A. purpurea,AGPU,,,,,,,
A_5_P1H2,A_5_P1H2_SYRA,5,Together,Ambient,P1H2,S. racemosum,SYRA,10.071,9.780,12.560,12.743,2.489,2.963,5.452
