"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-81.024828,31.956504,"USA","Georgia",NA,2311300472,"Apiaceae","SPECIES",79,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.233733,33.793184,"USA","Georgia",NA,4909240559,"Apiaceae","SPECIES",8,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.53366,31.175565,"USA","Georgia",NA,3384125133,"Apiaceae","SPECIES",3,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.662628,33.952057,"USA","Georgia",NA,4145261564,"Apiaceae","SPECIES",78,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.139825,34.185297,"USA","Georgia",NA,4908853455,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.513938,32.899008,"USA","Georgia",NA,2802854973,"Apiaceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.364853,33.774876,"USA","Georgia",NA,1640038296,"Apiaceae","SPECIES",8,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.534065,31.175478,"USA","Georgia",NA,4145487635,"Apiaceae","SPECIES",192,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.366158,33.941997,"USA","Georgia",NA,4162390188,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400367,33.779153,"USA","Georgia",NA,3903415640,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
