"year","plot","code","functional_group","percent_cover","nearest_neighbor"
"Pre",20,"ERCO","forb",0.01,0
"Pre",20,"ERGR","forb",0.025,1
"Pre",20,"FRVI","forb",0.01,0
"Pre",20,"HYCA","forb",0.01,0
"Pre",20,"HYHO","forb",0.03,1
"Pre",20,"LUAR","legume",0.035,0
"Pre",20,"POGR","forb",0.08,0
"Pre",20,"RHIN","forb",0.06,0
"Pre",20,"SECR","forb",0.07,1
"Pre",21,"AQCO","forb",0.05,0
"Pre",21,"CHAN","forb",0.1,1
"Pre",21,"DEBA","forb",0.01,1
"Pre",21,"ELGL","grass",0.06,1
"Pre",21,"ERCO","forb",0.02,0
"Pre",21,"ERGR","forb",0.02,0
"Pre",21,"HEQU","forb",0.01,0
"Pre",21,"HYHO","forb",0.05,0
"Pre",21,"LIPO","forb",0.25,0
"Pre",21,"MESP","grass",0.1,1
"Pre",21,"POGR","forb",0.03,0
"Pre",21,"SECR","forb",0.06,1
"Pre",22,"ANSE","forb",0.02,0
"Pre",22,"BAVU","forb",0.02,0
"Pre",22,"CAHO","sedge",0.005,1
"Pre",22,"ELGL","grass",0.025,0
"Pre",22,"ERSP","forb",0.08,0
"Pre",22,"ERGR","forb",0.008,1
"Pre",22,"FRVI","forb",0.005,0
"Pre",22,"HEQU","forb",0.15,0
"Pre",22,"HYCA","forb",0.02,1
"Pre",22,"HYHO","forb",0.03,0
"Pre",22,"LIPO","forb",0.04,0
"Pre",22,"LUAR","legume",0.03,0
"Pre",22,"MESP","grass",0.05,1
"Pre",22,"MECI","forb",0.015,0
"Pre",22,"POGR","forb",0.15,1
"Pre",22,"SECR","forb",0.01,0
"Pre",23,"ANSE","forb",0.001,0
"Pre",23,"CHAN","forb",0.25,0
"Pre",23,"ELGL","grass",0.08,0
"Pre",23,"ERGR","forb",0.01,0
"Pre",23,"HEMA","forb",0.05,0
"Pre",23,"HYHO","forb",0.03,0
"Pre",23,"LIPO","forb",0.1,0
"Pre",23,"MESP","grass",0.01,1
"Pre",23,"MECI","forb",0.05,1
"Pre",23,"POGR","forb",0.01,0
"Pre",23,"RIMO","shrub",0.2,0
"Pre",23,"SECR","forb",0.03,0
"Pre",23,"VAOC","forb",0.15,1
"Pre",24,"CHAN","forb",0.005,0
"Pre",24,"DEBA","forb",0.005,0
"Pre",24,"ELGL","grass",0.04,1
"Pre",24,"ERCO","forb",0.03,1
"Pre",24,"ERGR","forb",0.015,0
"Pre",24,"FRVI","forb",0.06,1
"Pre",24,"HEQU","forb",0.15,0
"Pre",24,"HEMA","forb",0.25,0
"Pre",24,"HYHO","forb",0.03,0
"Pre",24,"LIPO","forb",0.05,0
"Pre",24,"MESP","grass",0.02,0
"Pre",24,"POGR","forb",0.08,0
"Pre",24,"RIMO","shrub",0.1,0
"Pre",24,"VAOC","forb",0.05,1
"Pre",25,"ANSE","forb",0.002,0
"Pre",25,"AQCO","forb",0.05,0
"Pre",25,"CAHO","sedge",0.01,0
"Pre",25,"CAHO","sedge",0.01,1
"Pre",25,"CHAN","forb",0.005,0
