Site,species,Plot,Pair,Castilleja,div,even,rich
Deer Creek 2,Castilleja linarifolia,41,61,Present,1.617764284,0.77798017,8
Deer Creek 2,Castilleja linarifolia,42,61,Absent,1.201470654,0.67055354,6
Deer Creek 2,Castilleja linarifolia,43,62,Present,1.170158073,0.562727083,8
Deer Creek 2,Castilleja linarifolia,44,62,Absent,1.389374722,0.668148007,8
Deer Creek 2,Castilleja linarifolia,45,63,Present,1.481896136,0.712641402,8
Deer Creek 2,Castilleja linarifolia,46,63,Absent,0.988154224,0.507810818,7
Deer Creek 2,Castilleja linarifolia,47,64,Present,1.161881088,0.504598545,10
Deer Creek 2,Castilleja linarifolia,48,64,Absent,1.839449635,0.837169606,9
Deer Creek 2,Castilleja linarifolia,49,65,Present,1.67584261,0.698880651,11
Deer Creek 2,Castilleja linarifolia,50,65,Absent,0.776214104,0.398895141,7
Deer Creek 2,Castilleja linarifolia,51,66,Present,1.631909321,0.656728622,12
Deer Creek 2,Castilleja linarifolia,52,66,Absent,1.399982871,0.719448877,7
Deer Creek 2,Castilleja linarifolia,53,67,Present,1.610140381,0.699275082,10
Deer Creek 2,Castilleja linarifolia,54,67,Absent,0.923036288,0.573514691,5
Deer Creek 2,Castilleja linarifolia,55,68,Present,1.226126303,0.761835106,5
Deer Creek 2,Castilleja linarifolia,56,68,Absent,1.796091448,0.817436445,9
Deer Creek 2,Castilleja linarifolia,57,69,Present,1.449070469,0.744674912,7
Deer Creek 2,Castilleja linarifolia,58,69,Absent,1.293211448,0.588565894,9
Deer Creek 2,Castilleja linarifolia,59,70,Present,1.79894174,0.781270471,10
Deer Creek 2,Castilleja linarifolia,60,70,Absent,0.972439912,0.499735259,7
Deer Creek 2,Castilleja linarifolia,61,71,Present,2.037157991,0.849560869,11
Deer Creek 2,Castilleja linarifolia,62,71,Absent,0.627705257,0.571361948,3
Deer Creek 2,Castilleja linarifolia,63,72,Present,1.195611957,0.574967814,8
Deer Creek 2,Castilleja linarifolia,64,72,Absent,0,0,5
Deer Creek 2,Castilleja linarifolia,65,73,Present,1.621516541,0.737983981,9
Deer Creek 2,Castilleja linarifolia,66,73,Absent,1.043099125,0.536046911,7
Deer Creek 2,Castilleja linarifolia,67,74,Present,1.640254592,0.788795722,8
Deer Creek 2,Castilleja linarifolia,68,74,Absent,0.514653165,0.319771991,5
Deer Creek 2,Castilleja linarifolia,69,75,Present,1.888770297,0.787678394,11
Deer Creek 2,Castilleja linarifolia,70,75,Absent,0.223718076,0.322756959,2
Deer Creek 2,Castilleja linarifolia,71,76,Present,1.002612703,0.622958298,5
Deer Creek 2,Castilleja linarifolia,72,76,Absent,1.193549604,0.860964047,4
Deer Creek 2,Castilleja linarifolia,73,77,Present,1.230639322,0.632423508,7
Deer Creek 2,Castilleja linarifolia,74,77,Absent,1.402566843,0.720776776,7
Deer Creek 2,Castilleja linarifolia,75,78,Present,1.968722958,0.767548471,13
Deer Creek 2,Castilleja linarifolia,76,78,Absent,1.458007791,0.813729642,6
Deer Creek 2,Castilleja linarifolia,77,79,Present,1.704972308,0.775966337,9
Deer Creek 2,Castilleja linarifolia,78,79,Absent,1.343752133,0.611567951,9
Deer Creek 2,Castilleja linarifolia,79,80,Present,1.582743431,0.687376738,10
Deer Creek 2,Castilleja linarifolia,80,80,Absent,1.58176267,0.719891215,9
